FO,Region,Country,ACD Location,lat,lon,Latlong Source,Guess,REC_ID,ENL_ID,yr_start,yr_end,surv_int,pcd,cases,pyor,y,LN(y),s.e.,LCI95,UCI95,Mylem,Myuem,n,n+,lar,uar,PfPR,pr,mbg_pr,mix_pr,Ref ACD,Ref PfPR,Notes,
67,CSE Asia,India,Jeypore (Foothill),19.7854,82.1661,Combination,3,1394240917,808,1988,1989,14,N,449,2360,380.508,5.942,0.047,346.891,417.384,33.618,36.875,1608,95,0.0,99.0,5.908,7.744,31.197,7.744,41,42,,
68,CSE Asia,India,Malkangiri (Plain),18.6039,82.0804,Combination,3,225073246,808,1988,1989,14,N,97,712,272.472,5.608,0.102,223.303,332.468,49.169,59.996,,,,,,,33.651,33.651,41,42,,
69,CSE Asia,India,Malkingiri (foot hill),18.2793,82.3059,Combination,3,1091127537,808,1988,1989,14,N,152,377,806.366,6.693,0.081,687.843,945.312,118.523,138.946,339,115,0.0,99.0,33.923,44.465,34.048,44.465,41,42,,
70,CSE Asia,India,Malkingiri (riverine),17.8193,81.5799,Combination,3,-1466565497,808,1988,1989,14,N,91,1137,160.070,5.076,0.105,130.340,196.582,29.730,36.511,227,86,0.0,99.0,37.885,49.658,31.380,49.658,41,42,,
71,CSE Asia,India,Malkangiri (tophill),18.2748,82.1977,Combination,3,570338748,808,1988,1989,14,N,50,118,847.458,6.742,0.141,642.300,1118.145,205.158,270.688,101,45,0.0,99.0,44.554,58.400,34.379,58.400,41,42,,
72,CSE Asia,India,Jeypore (tophill),18.9827,82.7162,Combination,3,2071425712,808,1988,1989,14,N,285,698,816.619,6.705,0.059,727.106,917.152,89.513,100.533,387,190,0.0,99.0,49.096,64.352,32.275,64.352,41,42,,
73,CSE Asia,India,Jeypore,18.9827,82.7162,Combination,3,2071425712,808,1987,1987,14,N,1080,15303,141.149,4.950,0.030,132.977,149.823,8.172,8.674,10058,484,0.0,99.0,4.812,6.307,33.186,6.307,42,42,,
74,CSE Asia,India,Birkera,22.1330,84.7990,Encarta,1,-1997652953,1167,2003,2003,14,N,42,367,228.883,5.433,0.154,169.148,309.713,59.735,80.830,734,126,0.0,99.0,17.166,22.501,4.792,22.501,47,47,,
75,CSE Asia,India,Dudurta,22.2431,85.0447,GPS,1,-1997652953,1167,2003,2003,14,N,33,506,130.435,4.871,0.174,92.729,183.473,37.706,53.038,1012,32,0.0,99.0,3.162,4.145,10.606,4.145,47,47,,
76,CSE Asia,India,San Pokhari,22.4583,85.1911,GPS,1,-1997652953,1167,2003,2003,14,N,29,271,214.022,5.366,0.186,148.728,307.982,65.295,93.960,542,59,0.0,99.0,10.886,14.268,9.988,14.268,47,47,,
77,CSE Asia,India,Kuaramunda (area 1 Control),22.3010,84.7830,Encarta,1,791584687,766,1989,1990,7,N,125,626,199.681,5.297,0.089,167.572,237.942,32.109,38.261,77,21,0.0,99.0,27.273,35.748,13.710,35.748,51,51,,
78,CSE Asia,India,Kuaramunda (area 1 Control),22.3010,84.7830,Encarta,1,791584687,766,1990,1991,7,N,286,786,363.868,5.897,0.059,324.048,408.580,39.819,44.712,103,38,0.0,99.0,36.893,48.358,12.523,48.358,51,51,,
79,CSE Asia,India,Kuaramunda (area 1 Control),22.3010,84.7830,Encarta,1,791584687,766,1991,1992,7,N,231,808,285.891,5.656,0.066,251.301,325.242,34.590,39.351,258,38,0.0,99.0,14.729,19.306,11.663,19.306,51,51,,
80,CSE Asia,India,Kuaramunda (area 1 Control),22.3010,84.7830,Encarta,1,791584687,766,1992,1993,7,N,155,814,190.418,5.249,0.080,162.681,222.884,27.737,32.466,258,38,0.0,99.0,14.729,19.306,11.199,19.306,51,51,,
81,CSE Asia,India,Kuaramunda (area 2 untreated),22.3010,84.7830,Encarta,1,791584687,766,1989,1990,7,N,250,1089,229.568,5.436,0.063,202.804,259.865,26.764,30.297,188,32,0.0,99.0,17.021,22.311,13.686,22.311,51,51,,
82,CSE Asia,India,Kuaramunda (area 2 untreated),22.3010,84.7830,Encarta,1,791584687,766,1990,1991,7,N,285,1226,232.463,5.449,0.059,206.982,261.082,25.481,28.618,230,35,0.0,99.0,15.217,19.946,12.545,19.946,51,51,,
83,CSE Asia,India,Kuaramunda (area 2 untreated),22.3010,84.7830,Encarta,1,791584687,766,1991,1992,7,N,211,1328,158.886,5.068,0.069,138.830,181.838,20.055,22.952,223,22,0.0,99.0,9.865,12.931,11.646,12.931,51,51,,
84,CSE Asia,India,Kuaramunda (area 2 untreated),22.3010,84.7830,Encarta,1,791584687,766,1992,1993,7,N,118,1403,84.105,4.432,0.092,70.220,100.736,13.885,16.631,223,22,0.0,99.0,9.865,12.931,11.216,12.931,51,51,,
85,CSE Asia,India,Kuaramunda (area 3 treated ),22.3010,84.7830,Encarta,1,791584687,766,1989,1990,7,N,289,1134,254.850,5.541,0.059,227.098,285.994,27.752,31.144,283,55,0.0,99.0,19.435,25.474,13.746,25.474,51,51,,
86,CSE Asia,India,Kuaramunda (area 3 treated ),22.3010,84.7830,Encarta,1,791584687,766,1990,1991,7,N,156,1147,136.007,4.913,0.080,116.254,159.116,19.753,23.109,174,19,0.0,99.0,10.920,14.313,12.542,14.313,51,51,,
87,CSE Asia,India,Kuaramunda (area 3 treated ),22.3010,84.7830,Encarta,1,791584687,766,1991,1992,7,N,156,1187,131.424,4.878,0.080,112.337,153.754,19.087,22.330,151,11,0.0,99.0,7.285,9.548,11.634,9.548,51,51,,
88,CSE Asia,India,Kuaramunda (area 3 treated ),22.3010,84.7830,Encarta,1,791584687,766,1992,1993,7,N,75,1220,61.475,4.119,0.115,49.024,77.089,12.451,15.613,151,11,0.0,99.0,7.285,9.548,11.205,9.548,51,51,,
89,CSE Asia,India,Janghira,21.4333,85.6166,Encarta,1,-1049714305,747,1994,1994,14,Y,1279,28225,45.314,3.814,0.028,42.898,47.867,2.417,2.553,1049,88,0.0,99.0,8.389,10.996,17.878,10.996,52,52,,
90,CSE Asia,India,Jiranga,18.9827,82.7162,Combination,3,2071425712,808,1994,1996,14,Y,2351,67566,34.796,3.549,0.021,33.417,36.231,1.378,1.435,1042,93,0.0,99.0,8.925,11.699,25.490,11.699,52,52,,
